"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jan 15 15:17:21 GMT 2024","Mon Jan 15 15:17:34 GMT 2024","13475","QASE Smoke Test","Thread #1","tests.ProjectTest","tests.ProjectTest","privateProjectShouldBeCreated","privateProjectShouldBeCreated",""
"failed","Mon Jan 15 15:17:35 GMT 2024","Mon Jan 15 15:17:47 GMT 2024","12037","QASE Smoke Test","Thread #1","tests.ProjectTest","tests.ProjectTest","publicProjectShouldBeCreated","publicProjectShouldBeCreated",""
